ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
OpenRoberta_robertalab-ev3dev,0.4533,31.8496,0.0256,82.1149,50.6750,-0.0054
OpiumProtocol_opium-protocol-v2,0.7345,39.4673,0.0106,89.7647,61.5118,-0.0000
ParaStation_psmpi,0.1744,26.3710,0.0480,50.5399,43.4245,0.0045
Resurgence-VM-Development_Resurgence,0.5675,38.0164,0.0126,89.7523,58.1606,-0.0001
RunnersHi_RunnersHi_Server,0.7027,38.8366,0.0114,89.4193,58.9955,-0.0006
SV-97_HumanResourceMachine,0.0041,24.5398,0.0593,19.6187,52.0137,-0.0002
SafeBreach-Labs_hAFL2,0.7035,37.2094,0.0138,89.1887,59.5696,0.0006
Sanperolo_The-Intelligent-Bike,0.7385,35.7419,0.0163,88.4485,63.3543,-0.0004
Scientific-Computing-Lab-NRCN_compar,0.5660,36.2550,0.0154,89.5737,57.7352,-0.0032
SecHack365-Fans_PyJailBreak,0.4862,36.1577,0.0156,89.4860,56.9485,-0.0058
ShiftLeftSecurity_traceleft,0.6862,39.2246,0.0109,89.9227,61.6163,-0.0001
Simon-0711_ta_lyrics_sentiment_classification,0.7929,39.7414,0.0103,89.0931,62.0183,0.0067
SimonLdj_hypnolog-server,0.6314,36.3544,0.0152,89.4349,55.7668,0.0029
SocialGouv_archifiltre-docs,0.7746,37.7842,0.0129,89.5742,61.5459,-0.0011
Software-Engineering-DHBW_bikeminer,0.7510,36.5518,0.0149,88.7180,62.0376,-0.0043
Speccy-Rom_SpeccyTV,0.6804,38.2151,0.0123,88.3969,60.2600,-0.0024
SpektraSystems_CloudLabs-Azure,0.6339,36.9591,0.0142,88.5728,58.7686,0.0058
Spiderpig86_SmoresUnderflow,0.0124,24.5342,0.0593,16.4726,56.8194,0.0002
Taymindis_fcgi-function,0.1821,25.9837,0.0502,88.4657,37.8671,0.0003
TestHaters_ctflow,0.7970,37.3872,0.0135,89.5030,62.3568,-0.0003
UBC-CIC_Student-Connect-App,0.7988,36.8792,0.0143,89.5362,63.1683,0.0020
UnoSD_UnoCash,0.6842,38.5668,0.0118,89.0750,60.0919,0.0047
UoA-eResearch_hub-stack,0.0115,24.8651,0.0571,22.8338,55.5696,-0.0001
WeBankFinTech_DeFiBus,0.5449,36.9375,0.0142,89.3146,58.3176,-0.0015
XenitAB_git-auth-proxy,0.6480,38.7924,0.0115,89.8029,57.4955,0.0008
Xsidelight_flutter_interview_questions,0.3038,29.5754,0.0332,73.4193,49.9094,0.0021
YW-Ma_Algorithms-Visualizer,0.7910,37.7963,0.0129,88.3181,64.4906,0.0004
YashwantChauhan_SDL,0.6991,38.0559,0.0125,89.4407,59.9049,0.0021
ZID-Automat_Controller-ZIDAutomat,0.6828,36.4522,0.0150,86.3691,57.4712,0.0002
abel-gr_warehouse-robot,0.3777,34.8140,0.0182,89.0451,56.3481,0.0031
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.3898,28.1688,0.0390,89.0182,50.0515,0.0006
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,0.6681,37.8249,0.0128,89.3788,60.0288,0.0027
alexandredev3_nodejs-clean-architeture,0.4803,33.7154,0.0206,87.9302,55.0974,0.0039
alexprut_earth-defender,0.6304,38.6910,0.0116,88.8854,58.3689,0.0017
alextanhongpin_node-rest,0.6398,32.6697,0.0233,89.8070,55.3403,-0.0017
alfredcs_immersion_day_labs,0.6100,36.1673,0.0155,89.5032,58.5002,0.0010
aliyun_packagist-mirror,0.1509,25.6793,0.0520,22.6594,45.5039,-0.0003
allegroai_clearml-agent,0.7333,36.3222,0.0153,89.8514,62.2499,-0.0013
andersonkmi_credit-card-bindb-service-aws,0.6677,32.4272,0.0239,89.7447,60.6994,0.0004
andrempmattos_harsh-payload,0.4992,36.9407,0.0142,87.3393,58.9430,-0.0047
anjuchamantha_EMonitor,0.6850,39.3266,0.0108,89.5965,60.0755,0.0021
ankithans_codeX,0.5294,38.0745,0.0125,89.3540,56.7962,-0.0030
annashres_CustomerBot,0.5547,32.8510,0.0228,89.7381,58.7277,-0.0000
anvasquezre_sabiduria_asegurada_experiments,0.6374,36.2548,0.0154,87.5778,57.1878,-0.0038
apache_apisix-dashboard,0.0090,25.0371,0.0560,16.8355,54.4827,0.0008
apigee_consumer-data-standards-au,0.6324,37.0505,0.0140,89.7797,57.9563,0.0024
argrecsys_argael,0.3039,26.8324,0.0455,9.5559,53.5486,0.0007
arkaneshiro_Sound-Zone,0.7130,35.4250,0.0169,87.3347,61.2574,0.0017
ashavijit_Face-Find,0.7556,37.8524,0.0128,89.8213,63.4560,0.0013
aurelien-m_raspberrypi-rustpy,0.6876,33.0637,0.0222,89.8562,57.4830,-0.0009
avarghesein_ActiveX.NET,0.5531,35.6168,0.0166,89.7266,56.5386,-0.0018
aws-solutions_automated-security-response-on-aws,0.6787,37.4099,0.0135,88.9903,61.7901,-0.0018
aws-solutions_iot-device-simulator,0.0364,24.5233,0.0594,9.4154,29.3259,-0.0005
awslabs_benchmark-ai,0.5710,37.0715,0.0140,86.9801,56.6869,0.0054
azuregomez_SecurePaaS,0.8260,38.9175,0.0113,89.7641,63.5102,0.0001
badr42_oke_A1,0.5455,39.0259,0.0112,89.7681,59.5853,-0.0047
balajich_resilience4j-helloworld,0.7605,38.3390,0.0121,87.9404,60.7900,-0.0008
ballerina-platform_asyncapi-tools,0.6983,38.3412,0.0121,89.7556,61.8636,0.0003
batatero_arquiteturaPHP00,0.7315,36.6433,0.0147,88.4188,62.7331,-0.0020
bcgov_embc-ess,NA,NA,NA,NA,NA,NA
becloudway_serverless-data-pipeline,0.7122,37.5437,0.0133,89.5637,61.5280,-0.0004
beston123_Tarzan,0.0094,24.5339,0.0593,11.7148,56.0232,0.0000
bianjieai_tibc,0.4754,35.5754,0.0166,85.5859,55.5749,-0.0093
blentle_hikarikeeper,0.5037,28.8337,0.0362,68.5057,54.1796,0.0022
blockchain-signaling-system_bloss-core,0.7530,34.4813,0.0189,89.3506,60.7502,-0.0003
bluekiri_mlab,0.5133,37.1817,0.0138,88.6678,57.0157,-0.0023
boot2podman_machine,0.4901,36.1802,0.0155,88.9054,53.4219,-0.0013
brightzheng100_instana-handson-labs,0.6588,36.8560,0.0144,88.8188,60.7483,0.0018
btcpayserver_btcpayserver-doc,0.0801,26.1354,0.0493,14.1086,52.6772,0.0014
calmato_gran-book,0.6818,35.2256,0.0173,89.1623,59.9790,0.0035
cap-ntu_Video-to-Retail-Platform,0.6684,38.1157,0.0124,88.1135,58.8613,-0.0094
caraml-dev_turing,0.8159,38.7449,0.0116,89.9160,64.9939,-0.0022
castle-finance_vault-transaction-indexer,0.7071,38.8164,0.0115,89.5938,62.6518,0.0001
chaitin_veinmind-tools,0.4440,39.5424,0.0105,89.9421,59.2281,0.0006
chirgjin_track-my-events,0.8178,40.4464,0.0095,89.9042,63.0941,0.0006
chrispiro_deploy_plotly_app_on_gcp,0.7556,37.3451,0.0136,89.1189,59.5553,-0.0023
chsakell_planet-scale-azure,0.2069,26.0187,0.0500,87.7872,39.3132,0.0000
clemgbld_blog_back_office,0.7286,39.3763,0.0107,89.8804,62.0942,0.0007
codahale_sneaker,0.0876,25.5079,0.0530,19.9886,38.3965,-0.0013
codestates_BEB-05-LeeSea,0.6988,36.0589,0.0157,89.8361,59.5933,-0.0001
cordon-thiago_airflow-spark,0.5442,36.9259,0.0142,89.8747,57.2334,-0.0003
coverage-robot_core,0.7468,38.0031,0.0126,89.7397,63.8112,0.0021
danielfm_prometheus-for-developers,0.7429,37.3990,0.0135,88.8870,61.9526,0.0015
darrenyao87_tnn-models,0.5740,36.1961,0.0155,88.8490,60.2396,-0.0064
david3107_squatm3gator,0.7527,35.4162,0.0170,88.5595,59.6104,-0.0001
davidlandry93_glo4001,0.6322,34.3997,0.0191,89.4542,57.7312,0.0004
de1ux_statlord,0.7572,40.4414,0.0095,89.6279,60.4643,-0.0012
decentraland_catalyst,NA,NA,NA,NA,NA,NA
dich1_bookshelf-web,0.6875,37.0048,0.0141,89.2460,60.7227,-0.0039
doitintl_banias,0.0035,24.5680,0.0591,14.5179,52.5778,-0.0003
domingo1021_Bunny-code,0.7797,37.3517,0.0136,88.6496,62.3329,-0.0001
dowjones_hammer,0.6485,37.1796,0.0138,89.1588,60.2882,0.0005
dsc-sookmyung_2023-mention-all-SolutionChallenge,0.7487,37.8303,0.0128,89.1420,62.2509,-0.0023
dspace-group_simphera-reference-architecture-azure,0.8226,39.4041,0.0107,89.0394,64.7501,-0.0018
duanfuxiang0_MysqlMigrationTool,0.8171,40.3554,0.0096,89.9565,62.2770,0.0016
dwt0317_Search_Adserver,0.5461,35.7303,0.0163,89.0446,57.5369,0.0021
dylanvanh_MunchOut,0.8007,38.2749,0.0122,89.0091,65.1246,0.0031
eProsima_FIWARE-SH,0.4105,27.6520,0.0414,54.7250,54.1090,0.0011
eProsima_Integration-Service,0.2272,25.6485,0.0522,29.1635,47.9037,0.0010
ebu_PlugIt,0.6543,37.5307,0.0133,88.3538,57.9456,0.0035
elloza_Android-Developer-Certification,0.6648,37.3617,0.0135,89.1160,61.6039,0.0010
elpapi42_deep-deblurring,0.6856,36.9484,0.0142,89.7341,61.5456,0.0002
emreturgutce_stock-management,0.7772,37.6032,0.0132,89.8297,62.8240,-0.0006
eqbal_CarND_Capstone_CarX,0.7192,36.9515,0.0142,88.8587,60.5781,0.0013
ertis-research_lwm2m-blockchain,0.7155,35.7332,0.0163,87.6865,60.6535,-0.0030
ev2900_OpenSearch_Dashboard_Nginx_Proxy,0.7255,38.5300,0.0118,89.6112,60.2130,-0.0006
exmgr_GatewayXM,0.1124,25.9028,0.0507,31.4585,43.0214,0.0037
fdrennan_ndexr-platform,0.0112,24.6031,0.0589,7.3566,26.4983,0.0004
fecgov_fec-eregs,0.6449,37.5023,0.0133,89.5744,60.8131,-0.0017
florianhoehn_sf-apex-rest-api,0.7334,35.9415,0.0160,89.8369,61.3351,0.0009
fredrikhgrelland_data-mesh,0.5142,39.0628,0.0111,89.9023,57.3991,-0.0042
freenowtech_AndroidCI,0.5862,38.7513,0.0115,89.7269,64.6979,-0.0004
gabrielfarah_OpenHub,0.0782,25.7211,0.0518,31.0264,51.8724,0.0005
gaiax_fLibra,0.5998,36.5459,0.0149,89.3157,56.7575,-0.0018
gapfish_deployer,0.4403,34.3306,0.0192,89.7771,53.2686,0.0023
gcba-iris_iris,0.0710,24.8557,0.0572,13.6636,33.2269,-0.0023
gdsc-ys_mlops,0.8205,37.5435,0.0133,88.9777,63.2986,0.0020
geovanegodoi_MicroServicesPOC,0.6369,36.1731,0.0155,89.2811,59.8427,0.0014
googleinterns_typescript-flag-upgrade,0.0532,24.6654,0.0584,7.5264,31.8245,-0.0002
gpsnmeajp_VirtualMotionTracker,0.6059,31.3511,0.0271,89.7929,54.8083,0.0003
gray-panda_grayrepo,0.7668,34.6285,0.0186,89.8591,60.6942,-0.0000
greatfarmer_fifarm,0.7671,37.6743,0.0131,89.3330,62.3577,0.0019
gregoryjohnsonjg6_angular-dotnet-core-docker,0.7553,37.3354,0.0136,89.2183,62.6383,-0.0005
gustavung_Graphrec,0.8255,40.9887,0.0089,89.5872,62.1459,-0.0024
hamzatugrul_surl,0.5831,37.4365,0.0134,89.3917,59.0603,0.0006
heli-os_member-invitation-java-springboot,0.7550,41.3156,0.0086,89.9386,63.9034,0.0018
hex-js_nodejs-hexagonal-boilerplate-ts,0.5621,35.1145,0.0176,86.3091,57.1211,0.0037
hotshot07_distributed_systems,0.0148,25.1601,0.0552,25.6744,53.5003,0.0016
hrchlhck_k8s-bigdata,NA,NA,NA,NA,NA,NA
hyeonsangjeon_AWS-LLM-SageMaker,0.0380,32.8564,0.0228,25.2102,47.1088,-0.0028
hyeonsangjeon_youtube-dl-nas,0.7821,39.3000,0.0108,89.5200,61.5561,-0.0039
hyper-prog_hasses,0.6085,35.0064,0.0178,88.2626,58.1365,-0.0019
hypertrack_live-app-android,0.7478,37.9797,0.0126,89.0233,62.0940,0.0039
i5ting_stuq-koa,0.7185,35.8974,0.0160,89.0481,58.0353,0.0010
ibm-hyperknowledge_hklib,0.5850,33.3588,0.0215,81.1842,56.9561,0.0010
iceland2k14_Kangrand,0.5375,35.8719,0.0161,89.8443,56.8076,-0.0004
icoxfog417_karura,0.6908,36.3089,0.0153,89.3956,60.7833,-0.0009
imamabdulazis_FlutterCleanArchitecture,0.4272,33.6325,0.0208,87.3031,53.8085,0.0008
inIT-HF_gr-corrsounder,NA,NA,NA,NA,NA,NA
ingeniala_heybluekata,0.6051,37.1465,0.0139,88.6750,60.4384,0.0020
inovex_scrumlr.io,0.4953,37.7373,0.0130,89.1041,56.1556,0.0022
input-output-hk_marlowe-starter-kit,0.5889,36.9671,0.0142,88.4969,58.3295,-0.0007
intel_edge-insights-vision,0.3126,27.5313,0.0420,89.2784,47.7413,-0.0006
itays123_partydeck,0.6995,30.9795,0.0283,89.8378,58.7145,0.0001
itselavia_edge-computing-platform-for-deep-learning-apps,0.7867,35.8486,0.0161,89.8636,65.3531,0.0005
jes_autopatzer,0.7746,37.6917,0.0130,87.6380,62.1050,-0.0010
jinnerbichler_flash-home,0.0136,24.4840,0.0597,5.0745,22.2154,0.0007
jkahn117_aws-news,0.7282,37.4701,0.0134,89.0323,62.0224,0.0018
jlhood_retweet-leaderboard,0.0069,24.6818,0.0583,18.9313,50.5423,0.0021
jquku_Matrix-Chatbot,0.0923,24.8700,0.0571,10.3394,36.4833,0.0008
jsarcher_zilgraph,0.6138,37.5516,0.0133,88.5969,58.2422,-0.0006
jun108059_Elasticsearch-SpringBoot,0.6001,35.5566,0.0167,89.3681,58.3943,-0.0067
jzyong_GameServer4g,0.0810,25.4243,0.0536,12.5654,37.5862,0.0007
kaleidot725_Draft,0.3833,37.5269,0.0133,88.6915,61.3639,-0.0026
kansiris_Angular-Interview-Questions-Answers,0.4866,38.8453,0.0114,89.8982,58.1678,0.0002
kerollesroshdi_Cima-,0.0966,25.1143,0.0555,17.2536,38.2893,-0.0013
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,0.7060,36.5860,0.0148,89.8814,59.8085,0.0045
kpantos_Azure-How-To,0.1852,27.0126,0.0446,42.3769,44.3793,-0.0038
krishnaprasadkv_Linux-Commands,0.6186,39.1404,0.0110,89.9182,57.5192,0.0024
kryptokrauts_ae-prediction-cards,0.6874,39.3740,0.0107,89.5573,59.4045,0.0012
kubescape_host-scanner,0.6095,36.6691,0.0147,87.3234,57.1161,0.0014
kzh_noob,NA,NA,NA,NA,NA,NA
laziestcoder_Budget_App_JS,0.7026,37.6209,0.0132,89.8451,60.9378,0.0022
leekoko_Java-Web,0.7508,37.4421,0.0134,89.9289,60.5456,0.0001
leopardslab_gocloud,0.8031,35.5629,0.0167,89.6846,63.6664,0.0008
libremfg_getting-started,0.0413,25.1365,0.0554,22.2718,36.2142,0.0010
linhao1998_ChatGPTClient,0.5821,34.0845,0.0198,2.8972,43.7320,0.0002
little-hands_webdbpress-2019-10-ddd,0.6994,34.9020,0.0180,84.3158,61.2805,0.0003
liyangbing_rocketmq-http-gateway,0.7633,36.9381,0.0142,89.9128,61.5113,-0.0006
