ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
OpenRoberta_robertalab-ev3dev,0.4540,31.8025,0.0256,0.0000,50.6522
OpiumProtocol_opium-protocol-v2,0.6987,37.7830,0.0129,0.0000,60.6685
ParaStation_psmpi,0.2028,26.2804,0.0485,0.0000,43.3919
Resurgence-VM-Development_Resurgence,0.5360,36.9637,0.0142,0.0000,57.6234
RunnersHi_RunnersHi_Server,0.6310,37.1607,0.0138,0.0000,58.1755
SV-97_HumanResourceMachine,0.6354,36.6028,0.0148,0.0000,58.0396
SafeBreach-Labs_hAFL2,0.6954,35.8292,0.0160,0.0000,59.0786
Sanperolo_The-Intelligent-Bike,0.7677,35.4216,0.0169,0.0000,63.1817
Scientific-Computing-Lab-NRCN_compar,0.5396,35.5221,0.0167,0.0000,57.4026
SecHack365-Fans_PyJailBreak,0.5434,36.1820,0.0153,0.0000,56.9999
ShiftLeftSecurity_traceleft,0.6065,36.6413,0.0147,0.0000,60.3135
Simon-0711_ta_lyrics_sentiment_classification,0.7922,40.2423,0.0097,0.0000,62.2540
SimonLdj_hypnolog-server,0.6710,36.3381,0.0150,0.0000,55.8351
SocialGouv_archifiltre-docs,0.7724,37.2388,0.0137,0.0000,61.2565
Software-Engineering-DHBW_bikeminer,0.8154,36.6977,0.0146,0.0000,62.1275
Speccy-Rom_SpeccyTV,0.5810,36.3173,0.0153,0.0000,59.3113
SpektraSystems_CloudLabs-Azure,0.6710,37.0714,0.0139,0.0000,58.8840
Spiderpig86_SmoresUnderflow,0.8383,39.4486,0.0106,89.9691,64.2936
Taymindis_fcgi-function,0.2346,25.7216,0.0517,88.7522,37.7351
TestHaters_ctflow,0.7656,36.5882,0.0148,0.0000,61.9270
UBC-CIC_Student-Connect-App,0.8178,36.1045,0.0156,0.0000,62.7897
UnoSD_UnoCash,0.7929,39.2957,0.0107,0.0000,60.5739
UoA-eResearch_hub-stack,0.7400,35.9539,0.0156,0.0000,61.3999
WeBankFinTech_DeFiBus,0.5454,36.4310,0.0150,0.0000,58.0515
XenitAB_git-auth-proxy,0.5359,36.7997,0.0144,0.0000,56.4526
Xsidelight_flutter_interview_questions,0.3525,29.3948,0.0339,0.0000,49.8172
YW-Ma_Algorithms-Visualizer,0.7576,36.9248,0.0142,0.0000,64.0673
YashwantChauhan_SDL,0.7702,38.0516,0.0125,0.0000,59.8836
ZID-Automat_Controller-ZIDAutomat,0.6260,35.1585,0.0174,0.0000,56.8338
abel-gr_warehouse-robot,0.3871,34.6880,0.0184,0.0000,56.2870
