ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
OpenRoberta_robertalab-ev3dev,0.4562,31.8455,0.0256,82.1014,50.6847,0.0129
OpiumProtocol_opium-protocol-v2,0.7212,39.1352,0.0110,89.7761,61.3452,-0.0010
ParaStation_psmpi,0.2019,26.4096,0.0478,50.5709,43.4444,0.0055
Resurgence-VM-Development_Resurgence,0.5292,37.4365,0.0134,89.7311,57.8562,0.0030
RunnersHi_RunnersHi_Server,0.6920,39.0880,0.0111,89.4308,59.1193,-0.0015
SV-97_HumanResourceMachine,0.6523,37.9617,0.0126,89.1272,58.7189,-0.0009
SafeBreach-Labs_hAFL2,0.7077,36.0043,0.0158,89.3654,59.2212,-0.0022
Sanperolo_The-Intelligent-Bike,0.7502,35.8894,0.0161,88.4689,63.4279,0.0010
Scientific-Computing-Lab-NRCN_compar,0.5657,36.2245,0.0154,89.5790,57.7204,0.0025
SecHack365-Fans_PyJailBreak,0.6052,37.2348,0.0137,89.5572,57.6362,0.0021
ShiftLeftSecurity_traceleft,0.6980,38.9696,0.0113,89.9421,61.4781,0.0031
Simon-0711_ta_lyrics_sentiment_classification,0.7345,39.0888,0.0111,89.0934,61.6758,-0.0033
SimonLdj_hypnolog-server,0.5835,36.3735,0.0152,89.4355,55.7856,-0.0021
SocialGouv_archifiltre-docs,0.7273,37.4431,0.0134,89.5553,61.3683,0.0007
Software-Engineering-DHBW_bikeminer,0.7280,36.4988,0.0150,88.7027,62.0111,-0.0006
Speccy-Rom_SpeccyTV,NA,NA,NA,NA,NA,NA
SpeccyTV-Rom_SpeccyTV,NA,NA,NA,NA,NA,NA
SpektraSystems_CloudLabs-Azure,0.6267,37.2539,0.0137,88.5935,58.9243,-0.0011
Spiderpig86_SmoresUnderflow,0.7841,39.5046,0.0106,89.9598,64.3035,-0.0013
Taymindis_fcgi-function,0.2055,25.8053,0.0513,88.6808,37.7761,-0.0003
TestHaters_ctflow,0.7767,37.2574,0.0137,89.5151,62.2903,0.0004
UBC-CIC_Student-Connect-App,0.7840,36.6894,0.0146,89.5449,63.0743,-0.0027
UnoSD_UnoCash,0.7242,38.9026,0.0113,89.1255,60.2638,0.0031
UoA-eResearch_hub-stack,0.6713,36.4605,0.0150,89.6156,61.5119,0.0008
WeBankFinTech_DeFiBus,0.5534,37.0464,0.0141,89.3211,58.3732,-0.0012
XenitAB_git-auth-proxy,0.0056,24.6646,0.0584,22.6254,50.3670,-0.0009
Xsidelight_flutter_interview_questions,0.3069,29.4838,0.0336,73.3798,49.8623,-0.0029
YW-Ma_Algorithms-Visualizer,0.8058,38.4347,0.0120,88.3609,64.8098,0.0002
YashwantChauhan_SDL,0.6779,37.9963,0.0126,89.4854,59.8807,0.0006
ZID-Automat_Controller-ZIDAutomat,0.6381,36.5118,0.0149,86.4087,57.5010,-0.0017
abel-gr_warehouse-robot,0.4182,35.0893,0.0176,89.1008,56.4945,0.0030
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.3839,28.1080,0.0393,89.0384,50.0212,-0.0003
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,0.6870,37.8641,0.0128,89.4034,60.0477,-0.0018
alexandredev3_nodejs-clean-architeture,0.4953,33.7520,0.0205,87.9761,55.1200,0.0006
alexprut_earth-defender,0.0034,24.5890,0.0590,22.4456,51.3231,-0.0006
alextanhongpin_node-rest,0.6563,32.5794,0.0235,89.8698,55.4048,-0.0014
alfredcs_immersion_day_labs,0.6099,36.4250,0.0151,89.5334,58.6308,0.0063
aliyun_packagist-mirror,0.1565,25.3569,0.0540,22.6777,45.3423,-0.0002
allegroai_clearml-agent,0.7530,36.7814,0.0145,89.8901,62.4826,-0.0026
andersonkmi_credit-card-bindb-service-aws,0.7185,33.1708,0.0220,89.8058,61.0306,-0.0003
andrempmattos_harsh-payload,0.4972,36.9045,0.0143,87.3475,58.9248,0.0005
anjuchamantha_EMonitor,0.6739,39.4125,0.0107,89.5909,60.1182,-0.0024
ankithans_codeX,0.6134,39.1131,0.0111,89.3854,57.3159,-0.0085
annashres_CustomerBot,0.0164,28.2830,0.0385,17.6404,56.4253,-0.0001
anvasquezre_sabiduria_asegurada_experiments,0.5805,36.3860,0.0152,87.5786,57.2555,0.0007
apache_apisix-dashboard,0.7032,37.2246,0.0138,89.8238,60.5801,-0.0010
apigee_consumer-data-standards-au,0.6690,37.3916,0.0135,89.7908,58.3532,0.0015
argrecsys_argael,0.4022,27.8402,0.0405,50.4177,54.0517,-0.0001
arkaneshiro_Sound-Zone,0.0074,25.1787,0.0551,12.7528,56.0922,-0.0001
ashavijit_Face-Find,0.7593,38.3349,0.0121,89.9356,63.7249,-0.0004
aurelien-m_raspberrypi-rustpy,0.6784,32.3833,0.0240,89.8354,57.1213,0.0012
avarghesein_ActiveX.NET,0.5300,35.6076,0.0166,89.7531,56.5340,-0.0000
aws-solutions_automated-security-response-on-aws,0.6232,36.8453,0.0144,88.8858,61.4823,0.0009
aws-solutions_iot-device-simulator,0.0316,24.6004,0.0589,9.4152,29.3637,-0.0007
awslabs_benchmark-ai,0.5350,36.6016,0.0148,86.9414,56.4519,-0.0011
azuregomez_SecurePaaS,0.7886,38.8272,0.0114,89.7485,63.4619,0.0008
badr42_oke_A1,0.4884,31.9758,0.0252,89.6710,56.1904,-0.0037
balajich_resilience4j-helloworld,0.7083,37.3333,0.0136,87.9493,60.2873,-0.0010
ballerina-platform_asyncapi-tools,0.7207,38.8877,0.0114,89.7980,62.1340,-0.0007
batatero_arquiteturaPHP00,0.7440,36.8710,0.0143,88.4434,62.8479,-0.0024
bcgov_embc-ess,NA,NA,NA,NA,NA,NA
becloudway_serverless-data-pipeline,0.7469,38.0996,0.0124,89.7439,61.8136,0.0005
beston123_Tarzan,0.7600,37.4269,0.0134,89.3744,62.4902,-0.0003
bianjieai_tibc,0.5139,35.6658,0.0165,85.5968,55.6201,-0.0059
blentle_hikarikeeper,0.5188,28.8502,0.0361,68.5152,54.2078,-0.0001
blockchain-signaling-system_bloss-core,0.7575,34.4650,0.0189,89.3788,60.7425,0.0005
bluekiri_mlab,0.4998,37.5245,0.0133,88.6983,57.1872,-0.0015
boot2podman_machine,0.5471,36.1786,0.0155,88.9055,53.3726,0.0272
brightzheng100_instana-handson-labs,0.0208,25.0049,0.0562,22.5235,54.8229,0.0006
btcpayserver_btcpayserver-doc,0.5549,30.9668,0.0283,81.5184,55.1117,0.0008
calmato_gran-book,0.7165,35.3241,0.0171,89.2044,60.1355,0.0008
cap-ntu_Video-to-Retail-Platform,0.6883,38.3158,0.0121,88.1204,58.9613,-0.0009
caraml-dev_turing,0.8024,38.7529,0.0115,89.9482,65.0016,-0.0017
castle-finance_vault-transaction-indexer,0.6593,37.9781,0.0126,89.5945,62.2287,0.0002
chaitin_veinmind-tools,0.4788,40.2487,0.0097,89.9568,59.5920,0.0024
chirgjin_track-my-events,0.8052,41.9252,0.0080,89.9622,63.8428,0.0007
chrispiro_deploy_plotly_app_on_gcp,0.7221,37.9379,0.0127,89.1451,59.9987,-0.0004
chsakell_planet-scale-azure,0.0304,35.9732,0.0159,21.7024,44.2616,-0.0003
clemgbld_blog_back_office,0.6821,39.0288,0.0112,89.8656,61.9198,-0.0011
codahale_sneaker,0.0932,25.2861,0.0544,19.9944,38.2852,0.0002
codestates_BEB-05-LeeSea,0.7635,37.0874,0.0140,89.9423,60.3264,-0.0007
cordon-thiago_airflow-spark,0.0138,24.6890,0.0583,26.2972,51.1095,0.0014
coverage-robot_core,0.8108,39.0815,0.0111,89.7811,64.3608,0.0006
danielfm_prometheus-for-developers,0.7187,37.3514,0.0136,88.9219,61.9297,-0.0032
darrenyao87_tnn-models,0.6293,36.7509,0.0145,88.9188,60.5182,0.0031
david3107_squatm3gator,0.6907,35.3282,0.0171,88.5694,59.5692,0.0011
davidlandry93_glo4001,0.6145,34.6048,0.0186,89.4894,57.8345,-0.0021
de1ux_statlord,0.6841,39.7792,0.0103,89.6289,60.1333,0.0063
decentraland_catalyst,NA,NA,NA,NA,NA,NA
dich1_bookshelf-web,0.7773,38.4829,0.0119,89.3550,61.4656,-0.0011
doitintl_banias,0.7386,40.4601,0.0095,89.7181,60.5517,0.0014
domingo1021_Bunny-code,0.7598,37.5319,0.0133,88.6640,62.3963,-0.0010
dowjones_hammer,0.6537,37.0581,0.0140,89.1509,60.2201,0.0008
dsc-sookmyung_2023-mention-all-SolutionChallenge,0.7047,37.8338,0.0128,89.1656,62.2530,0.0031
dspace-group_simphera-reference-architecture-azure,0.7989,38.6758,0.0116,89.0457,64.3751,0.0008
duanfuxiang0_MysqlMigrationTool,0.7442,39.9640,0.0100,89.9420,62.0772,-0.0010
dwt0317_Search_Adserver,0.5790,36.3096,0.0153,89.0802,57.8948,0.0013
dylanvanh_MunchOut,0.8128,38.5132,0.0119,89.0478,65.2452,-0.0004
eProsima_FIWARE-SH,0.3944,27.6263,0.0416,54.7631,54.0970,0.0023
eProsima_Integration-Service,0.2173,25.8621,0.0509,29.1574,48.0136,0.0011
ebu_PlugIt,0.6392,37.7944,0.0129,88.3471,58.0775,-0.0001
elavia_edge-computing-platform-for-deep-learning-apps,NA,NA,NA,NA,NA,NA
elloza_Android-Developer-Certification,0.6872,38.1372,0.0124,89.1587,61.9972,0.0001
elpapi42_deep-deblurring,0.7340,37.7268,0.0130,89.7959,61.9928,0.0006
