Component Name
Application
CodeGenerator
FileRepository
FileRepositoryImpl
SpecController
AsyncApiSpecController
BalController
SchemaController
ListenerController
DispatcherController
ServiceTypesController
ExtractUseCase
ExtractIdentifierPathFromSpec
ExtractServiceTypesFromSpec
ExtractSchemasFromSpec
GenerateUseCase
GenerateListenerStatementNode
GenerateMatchStatementNode
GenerateRecordNode
GenerateServiceTypeNode
GenerateUnionDescriptorNode
Schema
SchemaDecorator
ServiceType
RemoteFunction
AsyncApiCmd

Source,Target
CodeGenerator,Application
FileRepositoryImpl,FileRepository
AsyncApiSpecController,SpecController
SchemaController,BalController
ListenerController,BalController
DispatcherController,BalController
ServiceTypesController,BalController
SchemaDecorator,Schema
Application,AsyncApiCmd
