Component Name
fastcgi_param FN_HANDLER call_function_a;
Location Directive
Nginx Server
Location Directive
fastcgi_param FN_HANDLER call_function_b;
FFUNC call_function_a(ffunc_session_t* session) { ... } FFUNC call_function_b(ffunc_session_t * session) { ... }
C/C++ Fcgi Function Executable Service

Source,Target
fastcgi_param FN_HANDLER call_function_a;,Location Directive
Location Directive,C/C++ Fcgi Function Executable Service
Location Directive,C/C++ Fcgi Function Executable Service
fastcgi_param FN_HANDLER call_function_b;,Location Directive
FFUNC call_function_a(ffunc_session_t* session) { ... } FFUNC call_function_b(ffunc_session_t * session) { ... },C/C++ Fcgi Function Executable Service
