Component Name
Приложение-клиент
smev3_adapter_service
Адаптер СМЭВ 3 от РТК
MongoDB

Source,Target
Приложение-клиент,smev3_adapter_service
smev3_adapter_service,Адаптер СМЭВ 3 от РТК
smev3_adapter_service,MongoDB
