,mean,median,variance,std_dev,min,max,sum,count
hallucinated_components_count,8.84,7.0,32.032,5.66,0,33,2758,312
missing_components_count,6.266,5.0,22.292,4.721,0,39,1955,312
correct_components_count,2.385,2.0,6.051,2.46,0,25,744,312
hallucinated_connectors_count,7.689,7.0,21.295,4.615,0,24,2399,312
missing_connectors_count,5.349,5.0,14.048,3.748,0,23,1669,312
correct_connectors_count,0.76,0.0,4.505,2.122,0,30,237,312
