ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
Resurgence-VM-Development_Resurgence,0.5617,38.2326,0.0123,89.7522,58.2710,0.0032
RunnersHi_RunnersHi_Server,0.6532,38.4095,0.0120,89.3650,58.7799,0.0032
SV-97_HumanResourceMachine,0.6593,37.1067,0.0140,89.1273,58.3322,-0.0038
SafeBreach-Labs_hAFL2,0.7109,36.1816,0.0155,89.3408,59.2764,-0.0007
Sanperolo_The-Intelligent-Bike,0.7488,35.8600,0.0161,88.4692,63.4123,0.0008
Scientific-Computing-Lab-NRCN_compar,0.5450,36.2164,0.0155,89.5819,57.7141,-0.0048
SecHack365-Fans_PyJailBreak,0.5426,36.7715,0.0145,89.5550,57.3138,0.0081
ShiftLeftSecurity_traceleft,0.7072,38.7233,0.0116,89.9285,61.3586,-0.0010
Simon-0711_ta_lyrics_sentiment_classification,0.7177,38.7321,0.0116,89.0830,61.4973,-0.0021
SimonLdj_hypnolog-server,NA,NA,NA,NA,NA,NA
SocialGouv_archifiltre-docs,NA,NA,NA,NA,NA,NA
Software-Engineering-DHBW_bikeminer,0.6743,36.0081,0.0158,88.6830,61.7940,-0.0023
Speccy-Rom_SpeccyTV,0.6163,38.0020,0.0126,88.4256,60.1535,0.0003
SpektraSystems_CloudLabs-Azure,0.5425,36.5190,0.0149,88.5607,58.5362,0.0041
Spiderpig86_SmoresUnderflow,0.7657,38.6392,0.0117,89.9413,63.8710,0.0021
Taymindis_fcgi-function,NA,NA,NA,NA,NA,NA
TestHaters_ctflow,0.7569,37.0850,0.0140,89.5147,62.2039,0.0004
UBC-CIC_Student-Connect-App,0.7823,36.7293,0.0146,89.5732,63.0943,-0.0006
UnoSD_UnoCash,0.6547,38.5228,0.0119,89.0917,60.0705,0.0041
UoA-eResearch_hub-stack,0.6725,35.8891,0.0161,89.5907,61.1815,-0.0037
WeBankFinTech_DeFiBus,0.5340,36.6736,0.0147,89.3043,58.1844,0.0006
XenitAB_git-auth-proxy,0.5729,37.9991,0.0126,89.7973,57.0618,-0.0029
Xsidelight_flutter_interview_questions,0.3157,29.4038,0.0339,73.4051,49.8208,0.0004
YW-Ma_Algorithms-Visualizer,0.7870,38.0580,0.0125,88.3478,64.6213,0.0032
YashwantChauhan_SDL,0.6627,37.7634,0.0129,89.4519,59.7557,-0.0006
ZID-Automat_Controller-ZIDAutomat,0.7372,36.9522,0.0142,86.4263,57.7212,-0.0023
abel-gr_warehouse-robot,0.3545,34.5290,0.0188,89.0120,56.1861,0.0011
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.3716,28.1274,0.0392,89.0315,50.0309,-0.0003
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,0.6469,37.5720,0.0132,89.3934,59.9017,-0.0009
alexandredev3_nodejs-clean-architeture,0.5063,33.7959,0.0204,87.9690,55.1424,-0.0007
alexprut_earth-defender,NA,NA,NA,NA,NA,NA
alextanhongpin_node-rest,0.7079,32.7613,0.0230,89.8755,55.5333,-0.0005
alfredcs_immersion_day_labs,0.6032,36.3448,0.0152,89.5283,58.5871,0.0012
aliyun_packagist-mirror,0.1597,25.4454,0.0534,22.6892,45.4059,0.0002
allegroai_clearml-agent,0.7636,36.6878,0.0146,89.8915,62.4351,0.0017
andersonkmi_credit-card-bindb-service-aws,0.7157,33.1531,0.0220,89.8062,61.0209,0.0001
andrempmattos_harsh-payload,0.4758,35.5993,0.0166,87.3347,58.3163,-0.0019
anjuchamantha_EMonitor,0.6855,38.0456,0.0125,89.5897,59.4707,-0.0005
ankithans_codeX,0.5659,38.5817,0.0118,89.3703,57.0511,0.0005
annashres_CustomerBot,0.6143,32.9633,0.0225,89.8234,58.7812,-0.0002
anvasquezre_sabiduria_asegurada_experiments,NA,NA,NA,NA,NA,NA
apache_apisix-dashboard,0.6985,36.6458,0.0147,89.8163,60.2935,0.0005
apigee_consumer-data-standards-au,0.5739,36.1704,0.0155,89.7250,57.2191,-0.0017
argrecsys_argael,NA,NA,NA,NA,NA,NA
arkaneshiro_Sound-Zone,0.6657,35.2396,0.0173,87.3783,61.1626,-0.0021
ashavijit_Face-Find,0.7249,37.8928,0.0127,89.9190,63.4825,0.0002
aurelien-m_raspberrypi-rustpy,0.6856,32.4364,0.0239,89.8435,57.1482,0.0047
avarghesein_ActiveX.NET,0.5200,35.5817,0.0166,89.7504,56.5247,-0.0031
aws-solutions_automated-security-response-on-aws,0.6619,37.2894,0.0137,89.0007,61.7231,0.0056
aws-solutions_iot-device-simulator,0.0331,24.6220,0.0587,9.4153,29.3747,-0.0015
awslabs_benchmark-ai,0.4614,36.4009,0.0151,86.9659,56.3516,-0.0053
azuregomez_SecurePaaS,NA,NA,NA,NA,NA,NA
badr42_oke_A1,0.5389,38.7405,0.0116,89.7609,59.4417,0.0022
balajich_resilience4j-helloworld,0.6020,37.2598,0.0137,87.9062,60.2504,0.0032
ballerina-platform_asyncapi-tools,0.7290,38.6870,0.0116,89.8077,62.0468,0.0006
batatero_arquiteturaPHP00,0.7602,36.9663,0.0142,88.4459,62.8965,-0.0015
bcgov_embc-ess,NA,NA,NA,NA,NA,NA
becloudway_serverless-data-pipeline,0.7337,37.8515,0.0128,89.7404,61.6832,-0.0003
beston123_Tarzan,0.7248,37.0147,0.0141,89.3715,62.2747,-0.0025
bianjieai_tibc,0.4813,35.3570,0.0171,85.5675,55.4657,-0.0008
blentle_hikarikeeper,0.4782,29.1975,0.0347,68.4862,54.3558,-0.0028
blockchain-signaling-system_bloss-core,0.7508,34.5215,0.0188,89.3797,60.7728,0.0002
bluekiri_mlab,0.4830,36.7976,0.0145,88.6354,56.8254,-0.0001
boot2podman_machine,0.4790,35.9410,0.0160,88.9012,53.2640,0.0015
brightzheng100_instana-handson-labs,0.6092,36.0985,0.0157,88.7905,60.3681,-0.0001
btcpayserver_btcpayserver-doc,NA,NA,NA,NA,NA,NA
calmato_gran-book,0.7200,35.2011,0.0174,89.2218,59.9990,0.0001
cap-ntu_Video-to-Retail-Platform,0.6605,38.1523,0.0124,88.1180,58.8796,-0.0013
caraml-dev_turing,0.8034,38.6089,0.0117,89.9422,64.9271,0.0031
castle-finance_vault-transaction-indexer,0.6760,38.3173,0.0121,89.5979,62.3992,0.0003
chaitin_veinmind-tools,0.4392,38.2509,0.0122,89.9105,58.6212,0.0001
chirgjin_track-my-events,0.7626,40.0088,0.0100,89.9444,62.8773,-0.0000
chrispiro_deploy_plotly_app_on_gcp,0.7201,37.4865,0.0134,89.1306,59.7070,0.0015
chsakell_planet-scale-azure,NA,NA,NA,NA,NA,NA
clemgbld_blog_back_office,0.7727,40.7889,0.0091,89.9107,62.8010,0.0053
codahale_sneaker,0.0741,25.3366,0.0541,19.9862,38.3104,-0.0021
codestates_BEB-05-LeeSea,0.7211,36.1390,0.0156,89.8566,59.5424,0.0001
cordon-thiago_airflow-spark,0.6061,39.3944,0.0107,89.9513,58.4597,0.0009
coverage-robot_core,0.7840,39.0676,0.0111,89.7844,64.3555,-0.0008
danielfm_prometheus-for-developers,0.6920,36.8891,0.0143,88.8852,61.6959,0.0022
darrenyao87_tnn-models,0.6221,36.7923,0.0145,88.9273,60.5405,0.0011
david3107_squatm3gator,0.6973,34.8165,0.0182,88.5692,59.3050,0.0010
davidlandry93_glo4001,0.6600,34.3866,0.0191,89.4971,57.7345,-0.0016
de1ux_statlord,0.6588,39.3721,0.0107,89.6196,59.9297,-0.0016
decentraland_catalyst,NA,NA,NA,NA,NA,NA
dich1_bookshelf-web,NA,NA,NA,NA,NA,NA
doitintl_banias,0.7226,40.6251,0.0093,89.7293,60.6381,0.0010
domingo1021_Bunny-code,0.7521,37.4262,0.0134,88.6569,62.3434,0.0002
dowjones_hammer,0.6405,37.0359,0.0141,89.1725,60.2112,-0.0040
dsc-sookmyung_2023-mention-all-SolutionChallenge,0.7860,39.2285,0.0109,89.2218,62.9555,0.0033
dspace-group_simphera-reference-architecture-azure,0.7586,38.3222,0.0121,89.0385,64.1917,-0.0008
duanfuxiang0_MysqlMigrationTool,0.7455,39.5745,0.0105,89.8650,61.8824,0.0035
dwt0317_Search_Adserver,0.6092,36.3467,0.0152,89.0794,57.9173,0.0025
dylanvanh_MunchOut,0.7967,38.5754,0.0118,89.0421,65.2774,-0.0010
eProsima_FIWARE-SH,0.4284,27.5674,0.0418,54.7951,54.0675,-0.0015
eProsima_Integration-Service,0.2060,25.7327,0.0517,29.1495,47.9471,0.0012
ebu_PlugIt,0.5749,36.6335,0.0147,88.3363,57.5024,-0.0002
elloza_Android-Developer-Certification,0.7442,38.7835,0.0115,89.1872,62.3309,0.0012
elpapi42_deep-deblurring,0.7360,37.6557,0.0131,89.8104,61.9034,0.0006
emreturgutce_stock-management,0.7753,37.2916,0.0137,89.8153,62.6656,-0.0034
eqbal_CarND_Capstone_CarX,0.7206,36.9524,0.0142,88.8883,60.6037,-0.0030
ertis-research_lwm2m-blockchain,0.7072,35.9273,0.0160,87.7357,60.7510,-0.0016
ev2900_OpenSearch_Dashboard_Nginx_Proxy,NA,NA,NA,NA,NA,NA
exmgr_GatewayXM,0.1076,25.9004,0.0507,31.4657,43.0163,0.0000
fdrennan_ndexr-platform,0.0122,24.9222,0.0567,7.3606,26.6670,-0.0005
fecgov_fec-eregs,0.6405,37.8812,0.0128,89.5879,61.0023,-0.0012
florianhoehn_sf-apex-rest-api,0.6735,35.4964,0.0168,89.8163,61.1070,-0.0003
fredrikhgrelland_data-mesh,0.5340,39.8841,0.0101,89.9478,57.8200,0.0160
freenowtech_AndroidCI,0.5684,38.5177,0.0119,89.7397,64.5747,-0.0001
gabrielfarah_OpenHub,0.4548,35.8937,0.0160,88.8876,57.1901,0.0010
gaiax_fLibra,0.5997,36.9289,0.0142,89.3730,56.9501,0.0015
gapfish_deployer,0.3806,34.2199,0.0195,89.7758,53.2008,-0.0018
gcba-iris_iris,0.0698,24.9113,0.0568,13.6694,33.2537,0.0009
gdsc-ys_mlops,0.7951,37.3358,0.0136,89.0194,63.1941,-0.0005
geovanegodoi_MicroServicesPOC,0.6174,35.7779,0.0163,89.2855,59.6263,-0.0017
googleinterns_typescript-flag-upgrade,0.0489,24.7653,0.0578,7.5250,31.8766,-0.0004
gpsnmeajp_VirtualMotionTracker,0.5733,31.6071,0.0263,89.7918,54.9065,-0.0013
gray-panda_grayrepo,0.7417,34.6768,0.0185,89.8714,60.7176,-0.0001
greatfarmer_fifarm,0.7201,36.2528,0.0154,89.2453,61.7075,0.0139
gregoryjohnsonjg6_angular-dotnet-core-docker,0.7347,37.3122,0.0136,89.2432,62.6236,0.0003
gustavung_Graphrec,0.7310,39.3951,0.0107,89.5220,61.3478,-0.0010
hamzatugrul_surl,0.5814,37.9914,0.0126,89.4069,59.3375,0.0022
heli-os_member-invitation-java-springboot,0.7346,40.8763,0.0090,89.9342,63.6838,-0.0001
hex-js_nodejs-hexagonal-boilerplate-ts,0.5656,35.0991,0.0176,86.2541,57.1134,0.0057
hotshot07_distributed_systems,0.6993,39.0633,0.0111,89.8451,60.4446,-0.0008
hyeonsangjeon_AWS-LLM-SageMaker,0.2268,26.4117,0.0478,88.7275,43.9258,0.0035
hyeonsangjeon_youtube-dl-nas,0.6998,38.6681,0.0117,89.5178,61.2285,0.0020
hyper-prog_hasses,0.5542,34.7358,0.0183,88.2233,58.0144,0.0014
hypertrack_live-app-android,0.7320,38.0524,0.0125,89.0587,62.1331,0.0008
i5ting_stuq-koa,0.6685,35.4789,0.0168,89.0435,57.8357,-0.0002
ibm-hyperknowledge_hklib,0.6370,33.4605,0.0212,81.2087,57.0072,0.0002
iceland2k14_Kangrand,0.6127,36.0001,0.0158,89.8462,56.9128,0.0018
icoxfog417_karura,0.7106,36.5865,0.0148,89.4452,60.9238,0.0010
imamabdulazis_FlutterCleanArchitecture,0.4197,33.4441,0.0213,87.2850,53.7142,-0.0085
inIT-HF_gr-corrsounder,0.2578,32.5207,0.0237,83.7099,53.1376,0.0005
ingeniala_heybluekata,0.5970,35.6967,0.0164,88.6675,59.7717,0.0011
inovex_scrumlr.io,0.5102,37.6206,0.0132,89.1361,56.0958,0.0013
input-output-hk_marlowe-starter-kit,0.5552,36.8834,0.0143,88.4995,58.2887,-0.0016
intel_edge-insights-vision,0.3379,27.6169,0.0416,89.3198,47.7973,0.0025
itays123_partydeck,0.6912,31.7799,0.0258,89.8281,59.0364,0.0005
itselavia_edge-computing-platform-for-deep-learning-apps,0.7821,36.4939,0.0150,89.8859,65.6738,0.0030
jes_autopatzer,0.7611,37.5237,0.0133,87.6611,62.0205,-0.0003
jinnerbichler_flash-home,0.0109,24.5105,0.0595,5.0748,22.2280,0.0003
jkahn117_aws-news,0.7305,37.7927,0.0129,89.0665,62.1887,0.0005
jlhood_retweet-leaderboard,0.5747,37.7680,0.0129,89.3040,57.0826,0.0013
jquku_Matrix-Chatbot,0.0881,24.8273,0.0574,10.3392,36.4619,-0.0008
jsarcher_zilgraph,0.6761,38.1102,0.0124,88.6496,58.5224,0.0004
jun108059_Elasticsearch-SpringBoot,0.6220,35.0536,0.0177,89.3998,58.1992,0.0004
jzyong_GameServer4g,0.0718,24.9562,0.0565,12.5694,37.3527,-0.0004
kaleidot725_Draft,0.3811,37.9838,0.0126,88.7075,61.5930,-0.0004
kansiris_Angular-Interview-Questions-Answers,0.5569,39.6294,0.0104,89.9409,58.5742,-0.0026
kerollesroshdi_Cima-,0.1102,25.3740,0.0539,17.2466,38.4195,0.0010
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,0.6878,36.6348,0.0147,89.8956,59.8411,-0.0028
kpantos_Azure-How-To,0.2039,26.8813,0.0453,42.3886,44.3129,0.0023
krishnaprasadkv_Linux-Commands,0.5919,37.7614,0.0129,89.8318,56.6167,0.0019
kryptokrauts_ae-prediction-cards,0.6342,38.8311,0.0114,89.5705,59.1303,0.0011
kubescape_host-scanner,0.6395,36.6152,0.0148,87.4252,57.0901,-0.0006
kzh_noob,NA,NA,NA,NA,NA,NA
laziestcoder_Budget_App_JS,0.6612,36.9921,0.0141,89.9376,60.4620,0.0026
leekoko_Java-Web,0.7223,37.5932,0.0132,89.9467,60.6900,0.0005
leopardslab_gocloud,0.7765,35.1567,0.0175,89.6814,63.4211,-0.0021
libremfg_getting-started,NA,NA,NA,NA,NA,NA
linhao1998_ChatGPTClient,0.0064,24.9074,0.0568,10.8121,39.0215,0.0002
little-hands_webdbpress-2019-10-ddd,0.7119,35.1083,0.0176,84.3469,61.3837,-0.0046
liyangbing_rocketmq-http-gateway,0.7934,36.8834,0.0143,89.9245,61.4887,0.0005
lkmSasanga_fas-web-app,0.7957,37.6846,0.0131,88.8791,62.5224,0.0018
lkravi_kube8aws,NA,NA,NA,NA,NA,NA
llvm_torch-mlir,0.7343,37.0389,0.0141,87.7579,62.2375,0.0008
lovasoa_SuperLogger,0.6947,37.4830,0.0134,89.2070,60.2657,-0.0019
lowes_auditor,0.5330,37.7541,0.0130,89.2555,57.1217,-0.0022
lowtalkers_escape-reality,0.6910,38.4332,0.0120,89.4529,58.6755,0.0026
lubkoKuzenko_FE-Interview-Questions,0.4851,38.0862,0.0125,89.9267,57.8441,0.0005
lvyahui8_http-proxy,0.4734,33.2660,0.0217,87.7055,56.9952,0.0010
madderle_Capstone-Realtime-Streaming-Analytics,NA,NA,NA,NA,NA,NA
marekq_rss-lambda,0.7223,39.4650,0.0106,89.9054,62.4979,-0.0019
marklogic_cloud-enablement-aws,0.6594,36.1995,0.0155,88.7580,60.8941,0.0032
marmarek_qubes-app-u2f,NA,NA,NA,NA,NA,NA
mateuseap_apache-airflow,0.2891,26.4867,0.0474,88.7041,42.3630,0.0024
matrix-io_matrix-malos-zwave,NA,NA,NA,NA,NA,NA
matryx_MatryxPlatform,NA,NA,NA,NA,NA,NA
mbotarro_unijobs,0.5350,28.0565,0.0396,52.6337,60.2917,0.0003
mcuking_offline-package-webpack-plugin,0.5591,30.1073,0.0312,89.8003,60.2092,0.0017
mebaysan_Modern-Data-Architecture,0.5154,36.4617,0.0150,89.6595,56.9767,-0.0040
medlab_320-online-prototype,0.5775,37.6753,0.0131,89.0264,55.9953,0.0010
mendhak_gpslogger,0.5353,35.0269,0.0177,84.8432,55.0236,0.0023
meshery_meshery,0.5293,28.9833,0.0355,89.5045,54.9390,-0.0001
michaelsrichter_azure.owasp,0.5573,35.4595,0.0169,89.9222,56.7251,-0.0005
microsoft_azure-realtime-fraud-detection,0.6434,37.4915,0.0133,89.3308,58.3810,-0.0028
microsoft_covid19-BackToWork,0.7213,36.8338,0.0144,89.3026,61.9923,-0.0037
mincloud1501_MSA_miniProject,0.6809,36.5780,0.0148,89.9235,57.8463,-0.0017
