Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;TinkerWorks/HomeSensorHub;https://github.com/TinkerWorks/HomeSensorHub/blob/master/docs/top_level_architecture.png;entire;UML;NA;general;static;maintainability;low;classes, interfaces, functions;inheritance, composition;rectangles;y;uni;n;n;n;y;n;mqtt;IOT
Anonymous;ndsev/zswag;https://github.com/ndsev/zswag/blob/master/doc/zswag-architecture.png;entire;UML;client-server;general;static;maintainability;medium;packages, classes;dependencies;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;OpenPSD/modelbank;https://github.com/OpenPSD/modelbank/blob/master/modelbank_solution_architecture.png;entire;UML;MVC;general;static;maintainability;medium;packages, classes, data;inheritance;rectangles;n;uni;n;y;n;y;n;NA;
Anonymous;ballerina-platform/asyncapi-tools;https://github.com/ballerina-platform/asyncapi-tools/blob/main/asyncapi-cli/src/main/resources/architecture.jpg;entire;UML;MVC, clean;general;static;maintainability;low;classes, interfaces, functions, layers;inheritance;rectangles;y;uni;n;y;n;y;n;NA;good example of low level UML architecture
Anonymous;EOS-Nation/dfuse-docs;https://github.com/EOS-Nation/dfuse-docs/blob/master/static/drawings/general_architecture.png;part;UML;NA;general;static;maintainability, performance_efficiency;medium;packages, DBs, clients;data_flow;rectangles;n;uni;n;y;n;y;text;aws, google, azure;
Anonymous;matryx/MatryxPlatform;https://github.com/matryx/MatryxPlatform/blob/master/assets/ArchitectureDiagram.svg;entire;UML;NA;general;static;maintainability;low;classes, functions;dependencies, inheritance, composition;rectangles;n;uni;n;n;n;y;n;NA;
Anonymous;batatero/arquiteturaPHP00;https://github.com/batatero/arquiteturaPHP00/blob/master/Class%20Architecture.jpg;entire;UML;MVC;general;static;maintainability;low;packages, classes, functions;inheritance, dependencies;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;Taymindis/fcgi-function;https://github.com/Taymindis/fcgi-function/blob/master/images/fcgi_func_architecture.png;part;UML;NA;control_flow;static;functional_suitability, maintainability;low;functions, classes;control_flow;rectangles;n;uni;n;y;n;y;n;c, c++;
