ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
ParaStation_psmpi,0.1968,26.3196,0.0483,50.5500,43.3992,-0.0001
Resurgence-VM-Development_Resurgence,0.5662,38.0336,0.0125,89.7375,58.1671,0.0038
RunnersHi_RunnersHi_Server,0.7479,39.0882,0.0111,89.4207,59.1213,0.0005
SV-97_HumanResourceMachine,0.6572,38.3856,0.0120,89.1288,58.9309,-0.0007
SafeBreach-Labs_hAFL2,0.7035,37.2094,0.0138,89.1887,59.5696,0.0006
Sanperolo_The-Intelligent-Bike,NA,NA,NA,NA,NA,NA
Scientific-Computing-Lab-NRCN_compar,0.5943,36.9346,0.0142,89.5765,58.0829,-0.0021
SecHack365-Fans_PyJailBreak,0.5443,37.0432,0.0141,89.5071,57.4884,-0.0009
ShiftLeftSecurity_traceleft,0.6606,38.7288,0.0116,89.9213,61.3708,0.0010
Simon-0711_ta_lyrics_sentiment_classification,0.7462,39.7364,0.0103,89.0938,62.0000,0.0034
SimonLdj_hypnolog-server,0.6030,36.2764,0.0154,89.4347,55.7456,-0.0034
SocialGouv_archifiltre-docs,0.7649,38.1396,0.0124,89.5283,61.7189,-0.0009
Software-Engineering-DHBW_bikeminer,0.7443,36.6902,0.0146,88.7208,62.1081,-0.0007
Speccy-Rom_SpeccyTV,0.6868,37.8598,0.0128,88.4231,60.0835,-0.0026
SpektraSystems_CloudLabs-Azure,0.6390,37.6647,0.0131,88.5944,59.1353,0.0010
Spiderpig86_SmoresUnderflow,0.7865,36.4874,0.0150,89.9243,63.0221,0.0012
Taymindis_fcgi-function,0.2004,26.3364,0.0482,88.7150,38.0289,0.0013
TestHaters_ctflow,0.7466,37.2205,0.0138,89.5136,62.2721,-0.0003
UBC-CIC_Student-Connect-App,NA,NA,NA,NA,NA,NA
UnoSD_UnoCash,0.6763,38.7403,0.0116,89.1022,60.1716,-0.0009
UoA-eResearch_hub-stack,0.7011,36.8895,0.0143,89.6122,61.6960,-0.0006
WeBankFinTech_DeFiBus,0.5873,37.0266,0.0141,89.3238,58.4221,0.0006
XenitAB_git-auth-proxy,0.6368,38.8431,0.0114,89.7903,57.4819,-0.0013
Xsidelight_flutter_interview_questions,0.3006,29.7351,0.0326,73.4128,49.9880,0.0124
YW-Ma_Algorithms-Visualizer,0.8422,39.0053,0.0112,88.3588,65.0950,-0.0018
YashwantChauhan_SDL,0.6904,38.1068,0.0124,89.4703,59.9088,0.0033
ZID-Automat_Controller-ZIDAutomat,0.6875,36.5964,0.0148,86.4043,57.5432,-0.0044
abel-gr_warehouse-robot,0.3695,34.8516,0.0181,89.0275,56.3718,0.0011
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.3842,28.3945,0.0380,88.9752,50.1644,0.0000
alanchn31_Movalytics-Data-Warehouse,0.6550,35.5173,0.0168,89.3586,59.0484,0.0027
alexandredev3_nodejs-clean-architeture,0.4882,33.7208,0.0206,87.9576,55.1041,0.0007
alexprut_earth-defender,0.6104,38.8483,0.0114,88.8870,58.4497,0.0009
alextanhongpin_node-rest,0.6433,32.7108,0.0231,89.8681,55.4103,-0.0009
alfredcs_immersion_day_labs,0.5974,36.2446,0.0154,89.5233,58.5383,-0.0025
aliyun_packagist-mirror,0.1638,25.8687,0.0509,22.6807,45.6119,-0.0002
allegroai_clearml-agent,0.7426,36.6925,0.0146,89.8566,62.4353,0.0031
andersonkmi_credit-card-bindb-service-aws,0.7112,33.0474,0.0223,89.7858,60.9587,-0.0000
andrempmattos_harsh-payload,0.4763,36.8823,0.0143,87.3402,58.9141,0.0004
anjuchamantha_EMonitor,0.6875,39.5523,0.0105,89.5946,60.1888,0.0028
ankithans_codeX,0.5518,38.5105,0.0119,89.3712,57.0145,-0.0019
annashres_CustomerBot,0.5975,32.6595,0.0233,89.8024,58.6346,-0.0001
anvasquezre_sabiduria_asegurada_experiments,0.5667,36.0248,0.0158,87.5672,57.0708,-0.0003
apache_apisix-dashboard,0.6582,37.2770,0.0137,89.7352,60.6044,-0.0010
apigee_consumer-data-standards-au,0.5962,36.7514,0.0145,89.7444,57.7148,-0.0055
argrecsys_argael,0.4093,27.8598,0.0405,50.4037,54.0614,0.0028
arkaneshiro_Sound-Zone,0.6814,35.3744,0.0170,87.3294,61.2333,-0.0019
ashavijit_Face-Find,0.6961,38.0488,0.0125,89.9295,63.5674,0.0020
aurelien-m_raspberrypi-rustpy,0.6500,32.6953,0.0232,89.8238,57.2756,-0.0014
avarghesein_ActiveX.NET,0.5425,35.5255,0.0167,89.7182,56.4879,-0.0018
aws-solutions_automated-security-response-on-aws,NA,NA,NA,NA,NA,NA
aws-solutions_iot-device-simulator,0.0284,25.1672,0.0552,9.4125,29.6491,-0.0010
awslabs_benchmark-ai,0.5183,36.6470,0.0147,86.9846,56.4747,-0.0015
azuregomez_SecurePaaS,0.7542,37.8573,0.0128,89.7478,62.9822,0.0008
badr42_oke_A1,0.5425,38.6309,0.0117,89.6702,59.3915,-0.0020
balajich_resilience4j-helloworld,0.7243,37.8651,0.0128,87.9626,60.5534,0.0001
ballerina-platform_asyncapi-tools,0.6640,38.2563,0.0122,89.7354,61.8185,-0.0016
batatero_arquiteturaPHP00,0.7816,36.9117,0.0143,88.4615,62.8797,-0.0011
bcgov_embc-ess,NA,NA,NA,NA,NA,NA
becloudway_serverless-data-pipeline,0.7337,37.7719,0.0129,89.7123,61.6359,0.0007
beston123_Tarzan,0.7840,37.5362,0.0133,89.3901,62.5499,0.0005
bianjieai_tibc,0.4696,34.9718,0.0178,85.4577,55.2970,0.0012
blentle_hikarikeeper,0.4852,28.7881,0.0364,68.4530,54.1456,-0.0019
blockchain-signaling-system_bloss-core,0.7459,34.4770,0.0189,89.3487,60.7483,-0.0001
bluekiri_mlab,0.5295,37.7505,0.0130,88.6883,57.3058,-0.0011
boot2podman_machine,0.5181,35.9080,0.0160,88.8840,53.2549,0.0026
brightzheng100_instana-handson-labs,0.6431,36.6927,0.0146,88.7713,60.6617,0.0001
btcpayserver_btcpayserver-doc,0.5625,30.8434,0.0287,81.5080,55.0523,-0.0001
calmato_gran-book,0.5798,34.9927,0.0178,89.1485,59.8196,-0.0026
