,mean,median,variance,std_dev,min,max,sum,count
hallucinated_components_count,8.465,7.0,31.854,5.644,0,27,2531,299
missing_components_count,6.535,5.0,33.485,5.787,0,45,1954,299
correct_components_count,2.619,2.0,5.069,2.251,0,13,783,299
hallucinated_connectors_count,7.415,7.0,19.183,4.38,0,23,2217,299
missing_connectors_count,5.321,4.0,16.031,4.004,0,29,1591,299
correct_connectors_count,0.843,0.0,2.354,1.534,0,10,252,299
