ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
GoogleCloudPlatform_gke-pubsub-websocket-adapter,NA,NA,NA,NA,NA,NA
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,0.0210,24.6018,0.0589,7.6254,27.6676,0.0003
IBM_IBM-Spectrum-Scale-Security-Posture,NA,NA,NA,NA,NA,NA
IBM_cognos-analytics-to-visualize-business-data,NA,NA,NA,NA,NA,NA
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,NA,NA,NA,NA,NA,NA
IBM_datastax-cassandra-clickstream,0.9330,41.8977,0.0080,89.9790,69.3849,0.0002
IBM_ios-mapkit-indoor-map,0.8473,41.4796,0.0084,89.7449,62.2021,0.0030
IBM_kubernetes-storage,0.7687,38.2915,0.0122,89.7204,62.0397,-0.0005
IBM_logdna-cos,NA,NA,NA,NA,NA,NA
IBM_spectrum-protect-sppmon,0.6332,36.1073,0.0157,87.8198,58.0190,-0.0015
IBM_torc_py,0.5930,34.1201,0.0197,88.9565,56.0617,-0.0008
IBM_vpc-flowlogs-log-analysis,NA,NA,NA,NA,NA,NA
IceFireDB_IceFireDB,0.2037,26.2127,0.0489,87.9808,42.6696,-0.0016
JessNah_BeeGreen,0.4650,27.5633,0.0419,49.4660,53.6048,0.0003
JuliaParallel_DagScheduler.jl,0.6084,36.8614,0.0144,89.6151,58.2590,-0.0083
KMuthumala_ESP32-BLE-Beaconing,0.7457,38.2018,0.0123,88.9029,58.4273,-0.0002
KuangRD_Autonomous-Driving,0.6577,35.3432,0.0171,88.6906,59.7251,0.0039
LouisvilleMetro_WazeCCPProcessor,0.7708,37.1084,0.0140,89.6151,61.5201,-0.0020
Luizbrandt_users-crud-salesforce,0.4676,36.0657,0.0157,88.2748,54.4230,0.0008
McOrts_taller-iot-sensor_radiactividad,NA,NA,NA,NA,NA,NA
Melacon_WirelessTransportEmulator,0.5063,32.9955,0.0224,87.1408,54.5530,-0.0012
MyEMS_myems,0.5230,36.6450,0.0147,88.4536,59.2868,-0.0017
NLP4L_attic-nlp4l,0.4478,28.5961,0.0372,89.5759,48.1877,0.0012
NatalieLouise91_T3A2-Skemi-FrontEnd,0.7222,36.2220,0.0154,88.8125,60.1971,0.0008
Neighbor-Army_help-with-covid,0.8082,36.1547,0.0156,89.6880,65.9111,-0.0001
NeuralDev-io_arclytics_simcct,0.6368,31.2739,0.0273,76.9516,58.6522,-0.0006
NicoJuicy_Airline-Microservices,0.7168,33.4283,0.0213,88.6664,57.5212,-0.0014
Nishu0_anime_nft_marketplace,0.6876,38.2373,0.0122,89.8177,58.3816,0.0007
NodleCode_n1,0.8264,36.8429,0.0144,88.8132,57.7882,0.0023
OAID_Tengine,0.6162,37.6678,0.0131,88.7971,59.7193,-0.0005
OpenIPC_motors,0.5630,36.0825,0.0157,88.1992,57.6475,-0.0043
OpenPSD_modelbank,NA,NA,NA,NA,NA,NA
OpenRoberta_robertalab-ev3dev,NA,NA,NA,NA,NA,NA
OpiumProtocol_opium-protocol-v2,0.7471,37.4211,0.0135,89.6399,60.5072,0.0079
ParaStation_psmpi,0.1924,26.3410,0.0482,49.3396,43.4084,0.0031
Resurgence-VM-Development_Resurgence,0.5794,37.7986,0.0129,89.6859,58.0393,0.0051
RunnersHi_RunnersHi_Server,0.6545,36.3857,0.0152,89.3154,57.8102,0.0061
SV-97_HumanResourceMachine,0.7214,38.5743,0.0118,89.0729,59.0252,0.0059
SafeBreach-Labs_hAFL2,0.7034,35.7081,0.0164,89.2673,59.0007,0.0038
Sanperolo_The-Intelligent-Bike,0.7823,35.9589,0.0159,88.4401,63.4798,0.0007
Scientific-Computing-Lab-NRCN_compar,0.5850,36.0839,0.0157,89.4965,57.6450,0.0006
SecHack365-Fans_PyJailBreak,NA,NA,NA,NA,NA,NA
ShiftLeftSecurity_traceleft,0.6930,37.4102,0.0135,89.8094,60.7445,-0.0008
Simon-0711_ta_lyrics_sentiment_classification,0.8429,39.5048,0.0106,88.6361,61.9364,0.0006
SimonLdj_hypnolog-server,0.6735,36.4745,0.0150,88.9849,55.8215,0.0011
SocialGouv_archifiltre-docs,0.7855,38.4161,0.0120,89.5929,61.8793,0.0009
Software-Engineering-DHBW_bikeminer,0.8042,37.0368,0.0141,88.7531,62.2929,-0.0012
Speccy-Rom_SpeccyTV,0.7186,37.6870,0.0131,88.3654,60.0368,-0.0009
SpektraSystems_CloudLabs-Azure,NA,NA,NA,NA,NA,NA
Spiderpig86_SmoresUnderflow,NA,NA,NA,NA,NA,NA
Taymindis_fcgi-function,NA,NA,NA,NA,NA,NA
TestHaters_ctflow,0.8001,36.0873,0.0157,89.4219,61.7080,-0.0002
UBC-CIC_Student-Connect-App,NA,NA,NA,NA,NA,NA
UnoSD_UnoCash,NA,NA,NA,NA,NA,NA
UoA-eResearch_hub-stack,0.7413,36.0626,0.0157,89.6226,61.3758,-0.0005
WeBankFinTech_DeFiBus,NA,NA,NA,NA,NA,NA
XenitAB_git-auth-proxy,0.6669,37.8062,0.0129,89.6430,56.9706,-0.0027
Xsidelight_flutter_interview_questions,0.3398,29.3966,0.0339,73.4257,49.8196,-0.0017
YW-Ma_Algorithms-Visualizer,NA,NA,NA,NA,NA,NA
YashwantChauhan_SDL,0.7714,37.6595,0.0131,88.6857,59.7494,-0.0002
ZID-Automat_Controller-ZIDAutomat,0.7106,36.1877,0.0155,86.2547,57.3389,0.0033
abel-gr_warehouse-robot,0.4148,34.8489,0.0181,88.9521,56.3686,-0.0013
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.4079,28.1292,0.0392,89.0059,50.0324,0.0003
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,NA,NA,NA,NA,NA,NA
alexandredev3_nodejs-clean-architeture,0.5481,33.8829,0.0202,87.9162,55.1797,0.0017
alexprut_earth-defender,0.5802,38.0662,0.0125,88.7961,58.0562,-0.0005
alextanhongpin_node-rest,0.7291,32.9337,0.0226,89.8804,55.4492,0.0011
alfredcs_immersion_day_labs,0.6746,36.2063,0.0155,89.5427,58.5108,0.0058
aliyun_packagist-mirror,0.1678,25.3898,0.0538,22.6922,45.3911,-0.0002
allegroai_clearml-agent,0.7227,35.4810,0.0168,89.7156,61.8192,0.0000
andersonkmi_credit-card-bindb-service-aws,0.6994,33.2347,0.0218,89.6870,61.0431,-0.0001
andrempmattos_harsh-payload,0.5278,37.5155,0.0133,87.3743,59.2306,-0.0066
anjuchamantha_EMonitor,0.6743,36.6328,0.0147,89.4859,58.8000,-0.0025
ankithans_codeX,NA,NA,NA,NA,NA,NA
annashres_CustomerBot,0.5893,32.5818,0.0235,89.7308,58.5936,-0.0001
anvasquezre_sabiduria_asegurada_experiments,0.5734,34.5055,0.0188,87.2856,56.3386,0.0012
apache_apisix-dashboard,0.7078,36.9469,0.0142,89.8214,60.4379,-0.0006
apigee_consumer-data-standards-au,NA,NA,NA,NA,NA,NA
argrecsys_argael,NA,NA,NA,NA,NA,NA
arkaneshiro_Sound-Zone,0.7350,35.3387,0.0171,87.2922,61.2185,-0.0009
ashavijit_Face-Find,0.8255,39.3944,0.0107,89.9425,64.3181,-0.0003
aurelien-m_raspberrypi-rustpy,0.6495,32.3492,0.0241,89.6786,57.0711,0.0072
avarghesein_ActiveX.NET,0.6363,36.7228,0.0146,89.7667,57.0883,-0.0013
aws-solutions_automated-security-response-on-aws,0.7528,37.0721,0.0140,89.0212,61.7775,-0.0005
aws-solutions_iot-device-simulator,0.0347,24.7754,0.0577,9.4150,29.4422,0.0053
awslabs_benchmark-ai,NA,NA,NA,NA,NA,NA
azuregomez_SecurePaaS,0.8445,39.5049,0.0106,89.7809,63.9165,0.0052
badr42_oke_A1,NA,NA,NA,NA,NA,NA
balajich_resilience4j-helloworld,0.7579,37.5778,0.0132,87.8464,60.4094,0.0003
ballerina-platform_asyncapi-tools,NA,NA,NA,NA,NA,NA
batatero_arquiteturaPHP00,NA,NA,NA,NA,NA,NA
bcgov_embc-ess,NA,NA,NA,NA,NA,NA
becloudway_serverless-data-pipeline,NA,NA,NA,NA,NA,NA
beston123_Tarzan,0.7514,36.9519,0.0142,89.3064,62.2476,-0.0009
bianjieai_tibc,0.6367,36.6369,0.0147,85.6584,56.1057,-0.0004
blentle_hikarikeeper,0.5010,29.1026,0.0351,68.4498,54.2953,-0.0024
blockchain-signaling-system_bloss-core,0.7640,34.3749,0.0191,89.3375,60.6991,0.0005
bluekiri_mlab,NA,NA,NA,NA,NA,NA
boot2podman_machine,0.5215,36.0644,0.0157,88.8303,53.3421,0.0047
brightzheng100_instana-handson-labs,0.6991,36.7502,0.0145,88.6186,60.7045,-0.0015
btcpayserver_btcpayserver-doc,NA,NA,NA,NA,NA,NA
calmato_gran-book,0.7196,34.8949,0.0180,89.0458,59.6276,-0.0006
cap-ntu_Video-to-Retail-Platform,0.7369,36.4946,0.0150,87.9084,58.0679,0.0009
caraml-dev_turing,0.7961,38.1062,0.0124,89.8555,64.6643,-0.0005
castle-finance_vault-transaction-indexer,NA,NA,NA,NA,NA,NA
chaitin_veinmind-tools,0.5002,36.3107,0.0153,89.8771,58.3001,0.0057
chirgjin_track-my-events,0.7960,40.7130,0.0092,89.9249,63.2269,0.0061
chrispiro_deploy_plotly_app_on_gcp,0.8348,38.3994,0.0120,89.1588,60.2834,-0.0020
chsakell_planet-scale-azure,NA,NA,NA,NA,NA,NA
clemgbld_blog_back_office,0.7686,40.4045,0.0095,89.8359,62.6039,-0.0057
codahale_sneaker,0.0922,25.3726,0.0539,19.9044,38.3285,0.0023
codestates_BEB-05-LeeSea,0.7294,35.4169,0.0169,89.7198,59.2095,0.0017
cordon-thiago_airflow-spark,0.5370,37.2305,0.0138,89.8751,57.3734,-0.0014
coverage-robot_core,0.8318,37.8935,0.0127,89.8020,63.8636,-0.0014
danielfm_prometheus-for-developers,0.6817,35.9827,0.0159,88.7578,61.2399,0.0020
darrenyao87_tnn-models,0.6901,37.5230,0.0133,88.9501,60.9120,-0.0028
david3107_squatm3gator,0.7734,34.7704,0.0183,87.4604,59.2993,0.0010
davidlandry93_glo4001,NA,NA,NA,NA,NA,NA
de1ux_statlord,0.6703,40.0643,0.0099,89.6324,60.2758,-0.0001
decentraland_catalyst,NA,NA,NA,NA,NA,NA
dich1_bookshelf-web,0.7868,36.7859,0.0145,88.9626,60.6609,0.0004
doitintl_banias,0.8451,42.3470,0.0076,89.7620,61.6915,-0.0003
domingo1021_Bunny-code,0.8311,38.4889,0.0119,88.6877,62.8755,-0.0001
dowjones_hammer,0.6824,37.0117,0.0141,89.1796,60.2130,0.0005
dsc-sookmyung_2023-mention-all-SolutionChallenge,NA,NA,NA,NA,NA,NA
dspace-group_simphera-reference-architecture-azure,NA,NA,NA,NA,NA,NA
duanfuxiang0_MysqlMigrationTool,0.7965,40.7831,0.0091,89.9474,62.4866,-0.0006
dwt0317_Search_Adserver,NA,NA,NA,NA,NA,NA
dylanvanh_MunchOut,0.8175,37.4385,0.0134,88.8595,64.7522,-0.0002
eProsima_FIWARE-SH,0.4304,27.6479,0.0415,54.6795,54.1082,-0.0005
eProsima_Integration-Service,0.2310,25.5848,0.0526,29.1640,47.8718,0.0004
ebu_PlugIt,0.5963,35.3866,0.0170,88.1530,56.9081,0.0170
elloza_Android-Developer-Certification,0.6897,37.0505,0.0140,88.9802,61.4532,0.0026
elpapi42_deep-deblurring,NA,NA,NA,NA,NA,NA
emreturgutce_stock-management,0.8266,37.9612,0.0126,89.8681,63.0037,-0.0004
eqbal_CarND_Capstone_CarX,0.7176,36.9112,0.0143,88.8420,60.5851,0.0009
ertis-research_lwm2m-blockchain,0.7622,36.1014,0.0157,87.4206,60.8399,0.0021
ev2900_OpenSearch_Dashboard_Nginx_Proxy,0.7315,37.3767,0.0135,89.4864,59.6165,-0.0006
exmgr_GatewayXM,0.1182,25.6993,0.0519,31.2904,42.9132,-0.0001
fdrennan_ndexr-platform,0.0129,24.8163,0.0574,7.3520,26.5861,0.0003
fecgov_fec-eregs,NA,NA,NA,NA,NA,NA
florianhoehn_sf-apex-rest-api,0.7572,35.9440,0.0160,89.8073,61.3283,0.0010
fredrikhgrelland_data-mesh,0.5480,39.7820,0.0103,89.8999,57.7717,0.0040
freenowtech_AndroidCI,0.6137,39.1817,0.0110,89.7607,65.1035,-0.0010
gabrielfarah_OpenHub,0.4580,35.0176,0.0177,88.8568,56.7017,0.0017
gaiax_fLibra,NA,NA,NA,NA,NA,NA
gapfish_deployer,0.4838,34.2282,0.0194,89.6003,53.2036,-0.0008
gcba-iris_iris,0.0784,24.9558,0.0565,13.6540,33.2773,0.0008
gdsc-ys_mlops,0.8528,36.9614,0.0142,88.5114,63.0227,-0.0011
geovanegodoi_MicroServicesPOC,NA,NA,NA,NA,NA,NA
googleinterns_typescript-flag-upgrade,0.0533,24.7544,0.0578,7.5228,31.8689,0.0002
gpsnmeajp_VirtualMotionTracker,0.6189,31.3617,0.0270,89.8360,54.8210,-0.0004
gray-panda_grayrepo,NA,NA,NA,NA,NA,NA
greatfarmer_fifarm,0.7794,37.3914,0.0135,89.2338,62.2155,0.0091
gregoryjohnsonjg6_angular-dotnet-core-docker,0.8216,37.9584,0.0126,89.2837,63.0582,-0.0003
gustavung_Graphrec,0.7470,38.4531,0.0119,89.4538,60.8800,-0.0011
hamzatugrul_surl,0.6066,38.1500,0.0124,89.3861,59.4167,-0.0035
heli-os_member-invitation-java-springboot,0.7161,36.4091,0.0151,89.8234,61.6155,0.0003
hex-js_nodejs-hexagonal-boilerplate-ts,0.5712,34.7208,0.0184,86.1166,56.9243,-0.0013
hotshot07_distributed_systems,0.6261,36.2095,0.0155,89.6049,59.0536,0.0031
hyeonsangjeon_AWS-LLM-SageMaker,NA,NA,NA,NA,NA,NA
hyeonsangjeon_youtube-dl-nas,0.8042,38.9332,0.0113,88.9968,61.3457,0.0002
hyper-prog_hasses,0.6509,34.9676,0.0178,88.2277,58.1325,-0.0001
hypertrack_live-app-android,0.8016,36.8063,0.0144,88.7013,61.5164,-0.0010
i5ting_stuq-koa,0.5731,34.7860,0.0182,89.0228,57.3666,-0.0002
ibm-hyperknowledge_hklib,0.6339,33.0282,0.0223,81.0403,56.7892,-0.0055
iceland2k14_Kangrand,0.6099,35.8724,0.0161,89.7750,56.8443,0.0000
icoxfog417_karura,0.7705,36.8220,0.0144,89.2489,61.0413,0.0005
imamabdulazis_FlutterCleanArchitecture,0.4950,33.7551,0.0205,87.3269,53.8682,-0.0012
inIT-HF_gr-corrsounder,0.3594,32.8276,0.0228,83.7850,53.2921,0.0000
ingeniala_heybluekata,0.6379,36.7285,0.0146,88.6230,60.2101,-0.0020
