ImageName,SSIM,PSNR,RMSE,SAM,SRE,UIQ
ParaStation_psmpi,0.1734,26.5335,0.0471,50.5533,43.5057,0.0004
Resurgence-VM-Development_Resurgence,0.5672,38.1535,0.0124,89.7520,58.2334,-0.0022
RunnersHi_RunnersHi_Server,0.6178,38.9063,0.0113,89.4187,59.0282,-0.0009
SV-97_HumanResourceMachine,0.6857,37.8821,0.0128,89.1375,58.7032,-0.0010
SafeBreach-Labs_hAFL2,0.6833,35.9698,0.0159,89.3409,59.1774,-0.0013
Sanperolo_The-Intelligent-Bike,0.7381,35.5946,0.0166,88.4597,63.2816,-0.0000
Scientific-Computing-Lab-NRCN_compar,0.5596,36.2436,0.0154,89.5807,57.7296,0.0019
SecHack365-Fans_PyJailBreak,0.5421,36.4120,0.0151,89.5035,57.1224,-0.0003
ShiftLeftSecurity_traceleft,0.6797,38.8065,0.0115,89.9459,61.4077,0.0004
Simon-0711_ta_lyrics_sentiment_classification,0.7105,38.3629,0.0121,89.0575,61.3122,-0.0026
SimonLdj_hypnolog-server,0.5323,34.9366,0.0179,89.4131,55.2329,-0.0010
SocialGouv_archifiltre-docs,0.7365,37.2183,0.0138,89.5007,61.2563,-0.0009
Software-Engineering-DHBW_bikeminer,0.7593,36.6496,0.0147,88.7161,62.0919,0.0004
Speccy-Rom_SpeccyTV,0.6813,38.0799,0.0125,88.3908,60.1924,0.0006
SpektraSystems_CloudLabs-Azure,NA,NA,NA,NA,NA,NA
Spiderpig86_SmoresUnderflow,0.7681,39.1485,0.0110,89.9400,64.1248,0.0033
Taymindis_fcgi-function,0.1865,26.0571,0.0498,88.6376,37.9000,0.0005
TestHaters_ctflow,0.7764,37.2560,0.0137,89.5195,62.2901,0.0000
UBC-CIC_Student-Connect-App,0.7575,36.5816,0.0148,89.5717,63.0202,-0.0005
UnoSD_UnoCash,0.6799,38.7197,0.0116,89.1242,60.1726,-0.0024
UoA-eResearch_hub-stack,0.6976,36.5088,0.0149,89.6184,61.5574,-0.0006
WeBankFinTech_DeFiBus,0.5340,36.9524,0.0142,89.3118,58.3237,-0.0008
XenitAB_git-auth-proxy,0.5501,37.6672,0.0131,89.7996,56.8908,-0.0008
Xsidelight_flutter_interview_questions,0.3003,29.4844,0.0336,73.3643,49.8614,0.0070
YW-Ma_Algorithms-Visualizer,0.7891,38.3446,0.0121,88.3634,64.7647,0.0035
YashwantChauhan_SDL,0.6862,38.1906,0.0123,89.4882,59.9812,0.0018
ZID-Automat_Controller-ZIDAutomat,0.6502,36.1520,0.0156,86.4033,57.3210,-0.0043
abel-gr_warehouse-robot,0.4493,35.2317,0.0173,89.1141,56.5673,0.0004
adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,0.3701,28.1003,0.0394,88.9589,50.0173,0.0004
afonsocastro_larcc_interface,NA,NA,NA,NA,NA,NA
alanchn31_Movalytics-Data-Warehouse,0.6423,36.6994,0.0146,88.9839,59.4655,0.0015
alexandredev3_nodejs-clean-architeture,0.4793,33.8160,0.0204,87.9454,55.1492,0.0004
alexprut_earth-defender,0.6332,36.3941,0.0151,88.8649,57.3983,-0.0043
alextanhongpin_node-rest,0.6894,32.7711,0.0230,89.8682,55.5155,0.0013
alfredcs_immersion_day_labs,0.5996,36.3721,0.0152,89.5172,58.6018,0.0024
aliyun_packagist-mirror,0.1580,25.4470,0.0534,22.6811,45.3915,0.0001
allegroai_clearml-agent,NA,NA,NA,NA,NA,NA
andersonkmi_credit-card-bindb-service-aws,0.7084,33.2082,0.0219,89.7964,61.0487,0.0005
andrempmattos_harsh-payload,0.4793,36.7465,0.0145,87.3520,58.8459,-0.0031
anjuchamantha_EMonitor,0.7138,38.7152,0.0116,89.5995,59.8159,0.0002
ankithans_codeX,0.5312,37.9310,0.0127,89.3224,56.7240,0.0010
annashres_CustomerBot,0.5692,32.7371,0.0231,89.8061,58.6536,-0.0001
anvasquezre_sabiduria_asegurada_experiments,NA,NA,NA,NA,NA,NA
apache_apisix-dashboard,0.6779,35.9995,0.0158,89.7630,60.0496,-0.0002
apigee_consumer-data-standards-au,0.6681,37.1226,0.0139,89.7785,58.0882,-0.0023
argrecsys_argael,0.4059,27.7495,0.0410,50.4270,54.0064,0.0004
arkaneshiro_Sound-Zone,0.7401,35.5456,0.0167,87.3889,61.3240,-0.0002
ashavijit_Face-Find,0.7268,37.9029,0.0127,89.9157,63.4857,-0.0017
aurelien-m_raspberrypi-rustpy,0.5993,32.1333,0.0247,89.7844,56.9584,-0.0063
avarghesein_ActiveX.NET,0.4995,35.3726,0.0170,89.7470,56.4156,-0.0019
aws-solutions_automated-security-response-on-aws,0.6923,37.3935,0.0135,89.0016,61.7734,-0.0011
aws-solutions_iot-device-simulator,0.0321,24.5537,0.0592,9.4178,29.3408,0.0002
awslabs_benchmark-ai,0.5598,36.7822,0.0145,86.9805,56.5423,0.0084
azuregomez_SecurePaaS,0.7472,35.8921,0.0160,89.7457,62.6406,-0.0007
